8,30,5,1,0,1185,1185
8,30,5,1,0.25,1201,1199
8,30,5,1,0.5,1185,1185
8,30,5,1,0.75,1201,1185
8,30,5,1,1,1185,1199
8,30,5,2,0,1185,1185
8,30,5,2,0.25,1185,1188
8,30,5,2,0.5,1188,1185
8,30,5,2,0.75,1174,1185
8,30,5,2,1,1174,1185
8,30,5,3,0,1185,1248
8,30,5,3,0.25,1185,1199
8,30,5,3,0.5,1185,1188
8,30,5,3,0.75,1185,1185
8,30,5,3,1,1185,1199
8,30,5,4,0,1185,1623
8,30,5,4,0.25,1174,1199
8,30,5,4,0.5,1185,1188
8,30,5,4,0.75,1188,1188
8,30,5,4,1,1185,1185
8,30,10,1,0,1185,1174
8,30,10,1,0.25,1185,1185
8,30,10,1,0.5,1185,1174
8,30,10,1,0.75,1174,1221
8,30,10,1,1,1188,1174
8,30,10,2,0,1174,1199
8,30,10,2,0.25,1185,1199
8,30,10,2,0.5,1185,1201
8,30,10,2,0.75,1185,1185
8,30,10,2,1,1185,1185
8,30,10,3,0,1185,1237
8,30,10,3,0.25,1188,1185
8,30,10,3,0.5,1174,1185
8,30,10,3,0.75,1174,1174
8,30,10,3,1,1174,1188
8,30,10,4,0,1185,1199
8,30,10,4,0.25,1174,1188
8,30,10,4,0.5,1185,1174
8,30,10,4,0.75,1174,1185
8,30,10,4,1,1174,1174
8,30,15,1,0,1185,1199
8,30,15,1,0.25,1247,1185
8,30,15,1,0.5,1185,1248
8,30,15,1,0.75,1174,1185
8,30,15,1,1,1188,1174
8,30,15,2,0,1185,1185
8,30,15,2,0.25,1185,1174
8,30,15,2,0.5,1174,1185
8,30,15,2,0.75,1185,1185
8,30,15,2,1,1185,1185
8,30,15,3,0,1188,1188
8,30,15,3,0.25,1185,1185
8,30,15,3,0.5,1174,1174
8,30,15,3,0.75,1185,1174
8,30,15,3,1,1174,1221
8,30,15,4,0,1201,1185
8,30,15,4,0.25,1185,1188
8,30,15,4,0.5,1185,1174
8,30,15,4,0.75,1185,1174
8,30,15,4,1,1185,1185
12,30,5,1,0,602,542
12,30,5,1,0.25,542,542
12,30,5,1,0.5,542,542
12,30,5,1,0.75,587,588
12,30,5,1,1,588,542
12,30,5,2,0,542,542
12,30,5,2,0.25,542,543
12,30,5,2,0.5,542,542
12,30,5,2,0.75,543,542
12,30,5,2,1,542,542
12,30,5,3,0,543,542
12,30,5,3,0.25,587,542
12,30,5,3,0.5,543,542
12,30,5,3,0.75,542,542
12,30,5,3,1,543,542
12,30,5,4,0,584,554
12,30,5,4,0.25,543,542
12,30,5,4,0.5,587,542
12,30,5,4,0.75,542,542
12,30,5,4,1,542,542
12,30,10,1,0,542,542
12,30,10,1,0.25,542,584
12,30,10,1,0.5,542,542
12,30,10,1,0.75,543,542
12,30,10,1,1,543,542
12,30,10,2,0,542,542
12,30,10,2,0.25,584,584
12,30,10,2,0.5,543,542
12,30,10,2,0.75,622,584
12,30,10,2,1,542,542
12,30,10,3,0,542,542
12,30,10,3,0.25,542,542
12,30,10,3,0.5,542,542
12,30,10,3,0.75,542,542
12,30,10,3,1,543,542
12,30,10,4,0,588,542
12,30,10,4,0.25,543,584
12,30,10,4,0.5,542,542
12,30,10,4,0.75,543,543
12,30,10,4,1,618,542
12,30,15,1,0,597,542
12,30,15,1,0.25,543,542
12,30,15,1,0.5,602,542
12,30,15,1,0.75,542,588
12,30,15,1,1,542,542
12,30,15,2,0,542,590
12,30,15,2,0.25,542,542
12,30,15,2,0.5,543,542
12,30,15,2,0.75,542,584
12,30,15,2,1,543,551
12,30,15,3,0,542,542
12,30,15,3,0.25,542,542
12,30,15,3,0.5,543,542
12,30,15,3,0.75,542,596
12,30,15,3,1,588,542
12,30,15,4,0,543,542
12,30,15,4,0.25,587,542
12,30,15,4,0.5,542,542
12,30,15,4,0.75,542,597
12,30,15,4,1,542,542
